Num_Processes,Num_Particles,Num_Dimensions,Total_Time(ms),Comm_Time(ms),Comp_Time(ms)
8,100,10,120009.377480,9.377480,120000.000000
8,100,20,240008.288145,8.288145,240000.000000
8,100,30,360007.640362,7.640362,360000.000000
8,100,40,480006.966591,6.966591,480000.000000
8,100,50,600006.286860,6.286860,600000.000000
8,200,10,250005.396843,5.396843,250000.000000
8,200,20,500005.816936,5.816936,500000.000000
8,200,30,750006.136894,6.136894,750000.000000
8,200,40,1000006.588697,6.588697,1000000.000000
8,200,50,1250006.777287,6.777287,1250000.000000
8,300,10,370005.489349,5.489349,370000.000000
8,300,20,740006.111622,6.111622,740000.000000
8,300,30,1110006.621122,6.621122,1110000.000000
8,300,40,1480007.064104,7.064104,1480000.000000
8,300,50,1850011.486292,11.486292,1850000.000000
8,500,10,620011.195660,11.195660,620000.000000
8,500,20,1240016.952515,16.952515,1240000.000000
8,500,30,1860009.309053,9.309053,1860000.000000
8,500,40,2480006.899357,6.899357,2480000.000000
8,500,50,3100007.616043,7.616043,3100000.000000
8,1000,10,1250005.371571,5.371571,1250000.000000
8,1000,20,2500006.551266,6.551266,2500000.000000
8,1000,30,3750008.002043,8.002043,3750000.000000
8,1000,40,5000009.505510,9.505510,5000000.000000
8,1000,50,6250010.353327,10.353327,6250000.000000
